	Unnamed: 0	platform	phase/arg_situation	method	adressee, reference	function	intent	impl_expl	pos_neg	easy translation	User	topic	link	connected	utterance	Effekt	lecture	praise	insinuation	dissence	concession	td-type
152		heise	opening	starting_point	forum	expressive	imagining	0,81	0,5	let's say	himan	mobility			Angenommen es würde einen 1er BMW geben mit 250KW Leistung	concession	0.06	0,1	0.1	0,1	0,6	ml
153		heise	opening	premise	forum	expressive	imagining	0,71	0,56	like this for instance	himan	mobility			Praktisch aufgebaut auf einem erfolgreichen Kompakt Model, was auch gerne mal als Zweitwagen genutzt wird	praise	0.04	0,74	0.05	0,05	0,25	ml
154		heise	argumentation	sub_compound	forum	expressive	imagining	0,8	0,73	like this for instance	himan	mobility			Als Akku sehe ich in dem Fall ein Akku mit bis 40 kWh als ideal an	concession	0.05	0,16	0.05	0,06	0,68	ml
155		heise	opening	premise	forum	expressive	imagining	0,81	0,64	like this for instance	himan	mobility			Von 0 auf 100 beschleunigt das Model wohl möglich in unter 6 Sekunden	praise	0.05	0,68	0.05	0,05	0,63	ml
156		heise	argumentation	sub_compound	forum	expressive	assessing	0,82	0,68	that would be ok	himan	mobility			Höchstgeschwindigkeit 180-200 wäre ja in Ordnung	concession	0.08	0,6	0.06	0,05	0,77	ml
157		heise	conclusion	conclusion	forum	expressive	sharing	0,87	0,83	i like it	himan	mobility			Fazit, ich würde sofort so ein fixes Ding kaufen	concession	0.05	0,3	0.16	0,05	0,8	ml
158		heise	argumentation	sub_compound	forum	expressive	assessing	0,76	0,86	i see it this way	himan	mobility			Zumal es recht wartungsfrei fährt und eine schöne Form hat	praise	0.05	0,83	0.05	0,05	0,75	ml
159		heise	argumentation	sub_compound	forum	expressive	praise	0,84	0,88	i like it	himan	mobility			Ideal zum Parken und auch umgeklappt für den Einkauf.	praise	0.05	0,83	0.05	0,03	0,75	ml
160		heise	argumentation	sub_compound	forum	expressive	assessing	0,73	0,82	that would be ok	himan	mobility			Etliche Motorvarianten bräuchte es dann nicht geben	concession	0.12	0,6	0.14	0,1	0,8	ml
161		heise	opening	sub_compound	forum	expressive	indicating	0,68	0,54	this is a fact	javasuppe	mobility			dort wird man auf der Bahn, wenn man mit 100 Unterwegs ist alle 2 Minuten von Tesla und Co überholt	lecture	0.78	0,1	0.08	0,5	0,67	ml
162		heise	conclusion	ad_populum	forum	poetic	alluding	0,77	0,56	I would not do this	Clö	trade			Nope, eine gebrauchte Matratze kaufe ich wie Unterwäsche oder Kondome nicht 	dissence	0.36	0,07	0.16	0,7	0,6	ml
163		heise	argumentation	ad_populum	forum	poetic	alluding	0,76	0,58	I would not do this	Clö				"Ich nehme auch keine ""Gratis zum mitnehmen""-Matratzen am Strassenrand mit, wo gelbe Spuren drauf zu sehen sind"	lecture	0.75	0,05	0.65	0,64	0,64	ml
164		heise	opening	sub_compound	forum	expressive	sharing	0,69	0,57	this happened	Clö				Mir hat sie zum Glück gepasst und ich hab sie behalten.	concession	0.13	0,2	0.07	0,05	0,75	ml
165		heise	argumentation	starting_point	forum	expressive	assessing	0,74	0,55	I see it this way	Clö				Fünf Minuten probeliegen im Geschäft genügt mir nicht.	dissence	0.16	0,06	0.6	0,75	0,6	ml
166		heise	argumentation	sub_compound	forum	expressive	considering	0,69	0,61	this is what happens	Clö				Zudem kommt noch das Müllproblem und umweltverschmutzung hinzu, falls die gebrauchte Matratze nicht mehr weiterverkauft werden kann	concession	0.6	0,05	0.16	0,7	0,75	ml
167		heise	argumentation	ignoratio elenchi	forum	appellative	indicating	0,83	0,62	others should	Clö				Denkt daran, Konsumenten.	lecture	0.8	0,1	0.5	0,4	0,06	ml
168		Facebook	confrontation	irony	forum	poetic	framing	0,75	0,3	how about that	Andreas Nguyen	nature			Dass kommt vom Klima Wandel	lecture	0.8	0,05	0.2	0,6	0,7	ml
169		Facebook	confrontation	irony	forum	poetic	provoking	0,78	0,28	how about that	Andreas Nguyen	nature			Wie kann dass sonst sein, das dieser Vulkan einfach ausbricht?	insinuation	0.6	0,02	0.77	0,68	0,67	ml
170		Facebook	confrontation	irony	forum	poetic	joking	0,69	0,28	how about that	Andreas Nguyen	nature			Dadurch, das dass Klima immer wärmer wird, werden auch die Vulkane heißer, weshalb sowas erst passiert	lecture	0.73	0,02	0.3	0,67	0,64	ml
171		Facebook	confrontation	irony	forum	poetic	joking	0,66	0,28	how about that	Andreas Nguyen	nature			Und das wird nicht der Einzigste Vulkan sein, bei dem sowas noch passieren wird, wenn wir den Klima Wandel nicht stoppen	lecture	0.73	0,02	0.5	0,67	0,34	ml
172		Facebook	confrontation	rhetorical_question	opponent	phatic	rejecting	0,83	0,33	are you serious?	Piet Wagner	nature			Andreas Nguyen Dein Ernst jetzt?	dissence	0.5	0,02	0.45	0,74	0,05	ml
173		Facebook	confrontation	irony	opponent	poetic	joking	0,5	0,29	of course	Christian Laberrhabarber	nature			Andreas Nguyen natürlich kommt das vom Klimawandel	lecture	0.74	0,02	0.45	0,74	0,05	ml
174		Facebook	confrontation	irony	opponent	poetic	framing	0,71	0,28	of course	Christian Laberrhabarber	nature			wir deutschen und unser Diesel sind schuld..	dissence	0.54	0,02	0.45	0,77	0,05	ml
175		Facebook	confrontation	rhetorical_question	opponent	phatic	rejecting	0,84	0,34	are you serious?	PerOle Wendland	nature			Andreas Nguyen dein Ernst?!	dissence	0.5	0,02	0.45	0,77	0,05	ml
176		Facebook	confrontation	irony	opponent	poetic	joking	0,46	0,3	how about that	Patrick Aust	nature			Christian Laberrhabarber Du denkst zu kurz	lecture	0.78	0,02	0.33	0,66	0,05	ml
177		Facebook	confrontation	ad_populum	forum	meta	framing	0,8	0,38	don't feed the troll	Sven Jckel	nature			Das fake Profil Andreas wollte mal wieder sein geistigen Erguss mitteilen	insinuation	0.2	0,02	0.84	0,66	0,05	ml
178		Zeit	argumentation	sub_compound	article	expressive	informing	0,79	0,53	this is a fact		consumerism			60 KG Fleisch pro Kopf und Jahr sind nicht nachhaltig und auch nicht gesund	dissence	0.55	0,05	0.07	0,77	0,19	ml
179		Zeit	conclusion	imperative	forum	expressive	requesting	0,86	0,57	others should		consumerism			Das muss weniger werden und da kann und sollte jeder bei sich selbst anfangen	lecture	0.79	0,03	0.06	0,45	0,77	ml
180		Zeit	argumentation	sub_compound	forum	appellative	demanding	0,87	0,52	we should	Willy Wusel	consumerism			Vor allem sollten wir Deutschen unseren Fleischkonsum drastisch senken	lecture	0.79	0,03	0.43	0,43	0,73	ml
182		Zeit	argumentation	inductive	forum	expressive	agreeing	0,78	0,53	this is good	Micky Messer	consumerism			Wenn das dazu führt das Bio-Fleisch nicht mehr 4€ für 200 Gramm kostet ist das eine sehr gute Sache	praise	0.4	0,8	0.06	0,1	0,25	ml
183		Zeit	argumentation	assertion	forum	expressive	indicating	0,78	0,53	consider this	Micky Messer	consumerism			Auch die Tierliebe hat finanziellen Grenzen	concession	0.45	0,05	0.07	0,64	0,78	ml
187		Zeit	argumentation	sub_compound	argument	expressive	indicating	0,85	0,69	consider this	Erbauer1	consumerism			Kommt man eh viel billiger bei weg und gleichzeitig senkt man noch sein Risiko für Krebs, Diabetes und Herzkreislauferkrankungen sowie eine Reihe anderer	praise	0.64	0,75	0.1	0,31	0,73	ml
191		Zeit	argumentation	sub_compound	argument	expressive	indicating	0,86	0,64	consider this	Erbauer1	consumerism			Vom ökologischen und ethischen Aspekt ganz zu schweigen	concession	0.54	0,65	0.09	0,15	0,72	ml
192		Zeit	argumentation	imperative	forum	expressive	indicating	0,81	0,67	this is important	Paul Ericsson	consumerism			Vor allem sollten Lebensmittel den Status bekommen, bei den eigenen Ausgaben, den sie verdient haben	lecture	0.73	0,18	0.11	0,23	0,23	ml
193		Zeit	argumentation	imperative	forum	expressive	indicating	0,8	0,58	this is important	Paul Ericsson	consumerism			Immer zuerst dafür und dann andere Formen des Konsums	lecture	0.73	0,15	0.16	0,22	0,23	ml
195		Zeit	argumentation	assertion	argument	expressive	rejecting	0,78	0,48	this is a fact	Paul Ericsson	consumerism			Fleisch ist ohnehin reine Verschwendung von Ressourcen	dissence	0.73	0,04	0.67	0,79	0,67	ml
196		Zeit	confrontation	starting_point	argument	expressive	rejecting	0,93	0,45	this is wrong	Quotenwagnerianer	consumerism			Völlig falscher Ansatz	dissence	0.66	0,02	0.1	0,84	0,23	ml
197		Zeit	argumentation	inductive	forum	expressive	assessing	0,71	0,48	this should happen		consumerism			Da Rinderzucht auch noch Klimaschädlich ist muss das Fleisch sogar noch teurer werden, damit der Konsum zurückgeht und die Höfe mit einem kleineren Bestand an Tieren arbeiten können ohne finanzielle Einbußen zu haben	concession	0.66	0,09	0.08	0,68	0,74	ml
198		Zeit	argumentation	inductive	forum	expressive	informing	0,8	0,48	that is how it is	Zeitleserin64	environment			es ist schon lange bekannt das rotes Fleisch für den Körper schädlich ist und nur selten gegessen werden sollte	insinuation	0.63	0,06	0.75	0,65	0,72	ml
202		Zeit	opening	ad_hominem-indirect	opponent	expressive	indignating	0,87	0,4	do not say such things	wilhelmsburger	consumerism			Warum gleich wieder polemisch?	insinuation	0.62	0,04	0.82	0,73	0,05	ml
203		Zeit	conclusion	ad_hominem-indirect	opponent	expressive	weaken	0,83	0,37	this is what happens	wilhelmsburger	consumerism			So diskreditieren sie sich selbst	lecture						ml
209		serienjunkies	conclusion	assertion	article	expressive	praise	0,9	0,9	i like it	Des Doktors Bruder	tv	https://www.zeit.de/zeit-magazin/leben/2019-07/melania-trump-slowenien-holzskulptur		Ein sehr guter Artikel.	praise						ml
210		serienjunkies	opening	starting_point	article	expressive	sharing	0,54	0,8	fascinatiing	Des Doktors Bruder	tv	https://www.zeit.de/zeit-magazin/leben/2019-07/melania-trump-slowenien-holzskulptur		Ich hatte nicht gewusst dass es so etwas in Slowenien gibt	concession	0.04	0,5	0.1	0,08	0,8	ml
211		serienjunkies	conclusion	conclusion	opponent	expressive	agreeing	0,5	0,38	others are ridiculous	The Council	tv	https://www.zeit.de/zeit-magazin/leben/2019-07/melania-trump-slowenien-holzskulptur		Diese Statue ist doch das Beste, was der Frau passieren kann	concession	0.1	0,33	0.3	0,4	0,78	ml
212		serienjunkies	conclusion	assertion	opponent	expressive	joking	0,1	0,47	yeah right	Des Doktors Bruder	tv	https://www.zeit.de/zeit-magazin/leben/2019-07/melania-trump-slowenien-holzskulptur		Absolut	praise	0.15	0,8	0.1	0,74	0,72	ml
213		serienjunkies	conclusion	expressivum	opponent	poetic	joking	0,33	0,28	yeah right	Des Doktors Bruder	tv	https://www.zeit.de/zeit-magazin/leben/2019-07/melania-trump-slowenien-holzskulptur		Da muss ich unbedingt hin um mir dieses Weltkulturerbe anzusehen	concession	0.08	0,65	0.1	0,68	0,78	ml
214		serienjunkies	conclusion	ad_hominem-indirect	opponent	expressive	indicating	0,85	0,35	others should	Gandalf sein Freund	tv	https://www.zeit.de/zeit-magazin/leben/2019-07/melania-trump-slowenien-holzskulptur		Weltkultur ... Erbe der Menschheit, da haben Sie eh großen Nachholbedarf	lecture						ml
217		serienjunkies	argumentation	ad_hominem-tu_quoque	opponent	expressive	assessing	0,68	0,36	others are illegit	Gandalf sein Freund	tv	https://www.zeit.de/zeit-magazin/leben/2019-07/melania-trump-slowenien-holzskulptur		Ihre Postings im Dienste Trumps und AFD sind nicht gerade das was Weltkulturerbe ausmacht	dissence	0.73	0,04	0.43	0,81	0,12	ml
218		serienjunkies	argumentation	inductive	forum	expressive	assessing	0,7	0,45	great	din flickvän älskar mig	tv	https://www.zeit.de/zeit-magazin/leben/2019-07/melania-trump-slowenien-holzskulptur		Die Statue ist lebendiger als das Original.	praise						ml
219		serienjunkies	argumentation	ad_populum	forum	expressive	assessing	0,74	0,39	this is bogus	dduck	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html		Das klingt alles nach großem Schwachsinn, der auch noch als hochwertig zelebriert wird...	dissence	0.52	0,05	0.6	0,79	0,08	ml
220		serienjunkies	confrontation	expressivum	self	expressive	confessing	0,93	0,93	i am loving it	thereshegoes	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html		Ich liebe liebe dieses Finale!	praise						ml
223		serienjunkies	argumentation	assertion	forum	expressive	confessing	0,86	0,89	i am loving it	thereshegoes	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html		Trotzdem, ich kann nicht genug von ungeklärten Geheimnissen und Mysterien bekommen	praise						ml
224		serienjunkies	argumentation	inductive	self	expressive	sharing	0,78	0,9	i am loving it	thereshegoes	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html		so macht es mir viel mehr Spaß die verschiedensten Theorien zu lesen.	concession	0.1	0,2	0.07	0,08	0,82	ml
225		serienjunkies	confrontation	assertion	opponent	meta	joking	0,78	0,85	I agree	Darmok auf dem Ozean	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html		@Dduck: Das ist eine sehr treffende Definition von ..... Kunst.:xd	praise	0.08	0,8	0.08	0,09	0,7	ml
226		serienjunkies	argumentation	sub_compound	opponent	expressive	sharing	0,71	0,83	i see it this way	dduck	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html		@Darmok: Ja, und eine gute Serie zeichnet sich für mich eben dadurch aus, dass sie nicht nur Kunst ist, sondern gleichzeitig auch Konstruktion.	concession	0.08	0,73	0.08	0,1	0,82	ml
227		serienjunkies	confrontation	inquiry	argument	appellative	framing	0,74	0,47	What do you mean?	serienfan47	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html		Wo war hier bitte der Mindfuck?	dissence	0.6	0,07	0.43	0,84	0,15	ml
228		serienjunkies	confrontation	assertion	opponent	expressive	assessing	0,9	0,3	your contribution is not helpful 	blablab	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html		Das ist totaler Quatsch	dissence	0.6	0,05	0.15	0,9	0,09	ml
229		serienjunkies	conclusion	ad_hominem	opponent	expressive	critisizing	0,87	0,3	you are too dumb to understand	blablab	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html		Nur deine, banale Interpretation	insinuation	0.7	0,03	0.78	0,68	0,07	ml
230		serienjunkies	opening	ad_hominem-indirect	opponent	expressive	framing	0,8	0,3	you are too dumb to understand	Immelmann	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html		"Die Rückkehr nach ""Twin Peaks"" ist nicht so verlaufen, wie du es dir gewünscht hast?"	insinuation						ml
231		serienjunkies	conclusion	irony	opponent	poetic	joking	0,2	0,2	take that sucker	immelmann	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html		Tut mir echt leid	concession	0.05	0,15	0.1	0,06	0,76	ml
232		serienjunkies	argumentation	inductive	opponent	poetic	imagining	0,78	0,39	you need to understand	immelmann	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html		Aber irgendwie habe ich das Gefühl, dass das genau die Absicht der Macher war	insinuation						ml
233		serienjunkies	opening	starting_point	opponent	poetic	joking	0,34	0,29	just saying	immelmann	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html		Nur so ein Gedanke	lecture						ml
238		serienjunkies	conclusion	ad_hominem-indirect	opponent	expressive	framing	0,73	0,34	others are ridiculous	dreamZD	tv	https://www.serienjunkies.de/twin-peaks/3x18-the-return-part-18.html		"Wenn Sie das unter ""nie wieder erholen"" verstehen., bitteschön..."	lecture						ml
240			confrontation	ad_hominem-indirect	opponent	appellative	rebuking	0,53	0,31	others should		any			Das hätten Sie sich schon selber denken können, oder?	lecture						ml
241			confrontation	ad_hominem-indirect	opponent	expressive	indicating	0,63	0,33	you don't deserve an answer		any			Das hätten Sie sich schon selber denken können, oder?	lecture						ml
246			argumentation	ad_hominem-indirect	opponent	expressive	indicating	0,56	0,37	others should		any			Sie sollten sich mal etwas näher damit beschäftigen	lecture						ml
248			conclusion	conclusion	opponent	appellative	indicating	0,87	0,77	others should		any			Sie sollten sich mal etwas näher damit beschäftigen	lecture	0.9	0,05	0.63	0,58	0,06	ml
249			argumentation	ad_hominem-indirect	opponent	expressive	indicating	0,54	0,46	others should		any			Ich empfehle da einfach mehr Selbstbewusstsein	lecture						ml
253			argumentation	ad_hominem-tu_quoque	opponent	appellative	rebuking	0,62	0,44	others should		any			Sie müssen nicht von ihren Wünschen auf andere schliessen 	insinuation						ml
256			argumentation	ad_hominem-indirect	opponent	expressive	indicating	0,54	0,4	you are silly to say this		any			Sie müssen nicht von ihren Wünschen auf andere schliessen	lecture						ml
270			conclusion	ad_hominem-indirect	opponent	expressive	indicating	0,4	0,4	you are not competent		any			Wie gesagt, es bedarf hier eigentlich Fachwissen, das Sie sich erst aneignen müssten	lecture						ml
275			argumentation	ad_hominem-indirect	opponent	expressive	indicating	0,75	0,4	others should		any			Sie brauchen dringend Nachhilfe in Sachen Demokratie	lecture						ml
278			argumentation	ad_hominem-indirect	opponent	expressive	indicating	0,82	0,36	others should		any			Sie brauchen dringend Nachhilfe in Sachen Demokratie	insinuation						ml
279			argumentation	ad_hominem-indirect	opponent	expressive	indicating	0,77	0,42	others should		any			Ihren Link bitte selbst nochmals studieren!	lecture						ml
287			argumentation	ad_verecundiam	opponent	expressive	indicating	0,67	0,37	I am in a position to say this		any			Wenn ich Ihnen einen Rat geben darf	lecture						ml
288			argumentation	imperative	opponent	expressive	indicating	0,66	0,38	others should		any			Sie sollten zur Kenntnis nehmen	lecture						ml
293			argumentation	ad_verecundiam	opponent	expressive	assessing	0,4	0,4	others should		any			Vielleicht sollten sie auf Kommentare weniger bewertend eingehen, sondern sich mehr inhaltlich damit auseinander setzen	lecture						ml
296			argumentation	ad_verecundiam	opponent	expressive	indicating	0,48	0,47	others should		any			Das sollten sie zu schätzen wissen, ist nämlich nicht überall auf der Welt so	lecture						ml
